NIM,Program Studi,Sebutkan kategori jenis pekerjaan yang Anda lakukan di tempat bekerja!,Jelaskan tugas-tugas utama dalam pekerjaan Anda saat ini?,Apakah pekerjaan yang Anda lakukan di tempat bekerja sesuai dengan bidang keilmuan?,Seberapa erat hubungan bidang studi dengan pekerjaan Anda?,Seberapa besar program studi Anda bermanfaat untuk hal-hal di bawah ini? [pembelajaran yang berkelanjutan dalam pekerjaan],Bidang usaha bekerja,Organisasi apa yang paling aktif Anda ikuti selama menjalani perkuliahan? (nama organisasi),IP,Sebutkan jenis kegiatan di organisasi yang aktif diikuti yang membantu mengasah kemampuan/skill Anda!,Seberapa besar program studi Anda bermanfaat untuk hal-hal di bawah ini? [memulai pekerjaan]
15316023,Teknik Lingkungan,Analisa & Marketing,Relationship Manager of Commercial Banking,tidak,item4,4,K,HMTL ITB & KM ITB,3.33,OSKM ITB dan PEKKA HMTL ITB,5
15316024,Teknik Lingkungan,HSSSE Support engineer,,ya,item5,2,B,Unit Kebudayaan Aceh (UKA) dan Himpunan Mahasiswa Teknik Lingkungan (HMTL),3.46,Panitia acra memebantu mengasah public speaking,4
15316025,Teknik Lingkungan,EHS Staff,"1. Memastikan implementasi SOP K3 dan Lingkungan (K3L) dalam Bekerja
2. Monitoring ketaatan dalam pelaksanaan bisnis dengan peraturan perundangan terkait K3L
3. Monitoring program untuk menekan angka kecelakaan kerja
",ya,item1,4,A,HMTL ITB,3.32,Diskusi Kreatif,4
15316026,Teknik Lingkungan,Perencanaan Air Minum,Merencanakan pembangunan air minum di Indonesia,ya,item2,4,E,Himpunan Mahasiswa Teknik Lingkungan,3.6,Unit Bulu Tangkis,4
15316028,Teknik Lingkungan,Digital marketing,Digital Marketing Analyst,tidak,item5,2,U,HMTL ITB,3.59,Menjabat sebagai Ketua Divisi di Periode Kepengurusan,4
15316029,Teknik Lingkungan,Consulting,Membantu perusahaan lain (klien) dalam menerapkan sistem manajemen perusahaan sesuai dengan standar yang diinginkan.,ya,,5,M,HMTL ITB,3.33,"Wisuda, Orientasi Anggota Baru",5
15316030,Teknik Lingkungan,Health Safety Security and Environment,"Memastikan kualitas lingkungan sesuai / tidak melebihi baku mutu yang telah ditetapkan oleh pemerintah
Memantau dan melaporkan kualitas lingkungan dalam periode tertentu
Membantu menyiapkan dokumen-dokumen Sistem Manajemen Lingkungan dan K3 di perusahaan
Memeriksa kelengkapan dokumen Contractor Safety Monitoring System untuk suatu Proyek di Lokasi kerja


",ya,item1,4,C,Himpunan Mahasiswa Teknik Lingkungan,3.31,Eco Project 2018,5
15316032,Teknik Lingkungan,Environmental Engineer,Mengelola pelaporan data lingkungan dan memastikan kepatuhan lingkungan terhadao regulasi yang ada.,ya,item1,5,B,Skhole ITB Mengajar,3.69,penyusunan rancangan kaderisasi pengembangan anggota ,5
15316033,Teknik Lingkungan,konsultan,Konsultan dalam proyek lingkungan,ya,item2,4,E,HMTL ITB,3.3,Desa Mitra/Pengembangan Masyarakat,2
15316035,Teknik Lingkungan,Direksi,"Merencanakan skema kerja, eksekusi, monitoring, dan evaluasi",tidak,item3,5,A,"HTMTL, KMH, PS ITB",3.19,PS ITB,2
15316036,Teknik Lingkungan,-,Menjadi koordinator pada tim konsultan perencana pada suatu proyek,ya,item3,4,M,Himpunan Mahasiswa Teknik Lingkungan,3.86,menjadi anggota divisi MSDA (Manajemen Sumber Daya Anggota) pada Himpunan Mahasiswa Teknik Lingkungan membantu saya dalam mengumpulkan data-data seluruh anggota himpunan sehingga data-data tersebut bisa dipergunakan untuk keperluan atau kebutuhan anggota himpunannya.,4
15316037,Teknik Lingkungan,HSE,"membuat report, analisa data",ya,item3,4,B,MBWG (unit),3.5,Unit ,4
15316038,Teknik Lingkungan,Konsultan/Tenaga Ahli,"Facilitate, manage and support related to improvement of waste management in Indonesia and its data.",ya,item3,2,E,HMTL ITB,3.34,Internalisasi dan Kemasyarakatan,2
15316039,Teknik Lingkungan,environmental engineer,mengelola data lingkungan perusahaan,ya,item1,4,B,HMTL ITB,3.64,Program kerja himpunan,4
15316040,Teknik Lingkungan,konsultasi,,ya,item2,5,M,HMTL ITB,3.08,Diskusi dan Kunjungan Lapangan,4
15316041,Teknik Lingkungan,Sales & Marketing,"Mampu manajemen waktu dengan baik, melakukan kegiatan administrasi dengan rapih, melakukan marketing dan sales agar target tercapai",tidak,item5,2,K,LFM,3.48,Proyek Wisuda ITB,2
15316044,Teknik Lingkungan,Konsultan,Mensupport pembuatan dokumen perencanaan wilayah dari segi teknik lingkungan,tidak,item3,4,O,Keluarga Paduan Angklung ITB,3.3,Badan Pengurus,4
15316049,Teknik Lingkungan,Engineer,,ya,,5,F,HMTL,2.85,Dokumentasi dan Videography ,5
15316050,Teknik Lingkungan,EHS,,ya,item1,5,D,HMTL dan GAMAIS ITB,3.09,Eco-Project ; Wakadept Kaderisasi G19,5
15316051,Teknik Lingkungan,-,recruiter,tidak,item4,2,J,Himpunan Mahasiswa Teknik Lingkungan,3.3,Organ,2
15316053,Teknik Lingkungan,"Subdirektorat Perencanaan Teknis, Direktorat Sanitasi","1. Pelaksana kebijakan dan penyusunan standar, prosedur dan kriteria di bidang sistem pengelolaan air limbah dan persampahan
2. Penyusunan program dan anggaran serta evaluasi kegiatan di direktorat pusat dan balai di tiap provinsi di Indonesia",ya,item1,4,E,Unit Kebudayaan Mealy Riau (UKMR) ITB,3.27,Menjabat sebagai Badan Pengurus Bidang Kaderisasi,5
15316054,Teknik Lingkungan,Penelitian dan Pengembangan,"Melakukan penelitian untuk mengevaluasi kegiatan operasional perusahaan agar berjalan efektif dan efisien, serta turut dalam pengembangan bisnis perusahaan seperti meningkatkan cakupan pelayanan, membangun SPAM baru dengan kerjasama, mencari sumber air baku, dan lain-lain",ya,item1,4,E,Himpunan Mahasiswa Teknik Lingkungan (HMTL) ITB,3.1,Menjadi Badan Pengurus (BP) HMTL - ITB sehingga  turut andil dalam proker-proker himpunan.,2
15316056,Teknik Lingkungan,Sales & Operation Partnership,,tidak,item4,2,G,PSM-ITB,3.21,"Konser, Lomba ke luar negeri",2
15316058,Teknik Lingkungan,Procurement Proyek Air Minum,"1. Membantu Tenaga Ahli Teknik Lingkungan & Teknik Sipil melakukan evaluasi 
dokumen perencanaan SPAM (Detail Engineering Design/DED) untuk proyek 
SPAM Regional Wosusokas;

2. Membantu Tenaga Ahli Teknik Lingkungan & Teknik Sipil melakukan evaluasi 
teknis dan memberikan rekomendasi pada proyek SPAM Regional Wosusokas;

3. Membantu tim swakelola melaksanakan kegiatan inventarisasi isu-isu penting, dan 
monitoring permasalahan proyek secara teknis pada proyek SPAM Regional 
Wosusokas",ya,,4,F,Keluarga Mahasiswa Hindu; Maha Gotra Ganesha; Himpunan Mahasiswa Teknik Lingkungan,3.3,Kepanitiaan serta Riset dan Proyek,4
15316059,Teknik Lingkungan,Administrasi,"penyelenggaraan pengembangan dan pengelolaan air minum, air bersih, sampah, drainese serta pengembangan profesi",ya,item1,4,O,HMTL ITB,3.27,PEKKA HMTL ITB,4
15316060,Teknik Lingkungan,Social Media Marketing,"Berkaitan dengan sosial media, engagement dll.",tidak,item4,4,I,PSM ITB,3.26,Latihan menyanyi,4
15316062,Teknik Lingkungan,HSSE,Reporting,ya,item3,4,C,HMTL ITB & KM ITB,3.52,-,4
15316063,Teknik Lingkungan,Environment Health and Safety,"Menjadi Officer K3 dan Enviro (EHS Specialist) di perusahaan perkebunan kelapa sawit. 

-Melaksanakan sistem manajemen K3 dan Lingkungan;
-Mengidentifikasi bahaya dan risiko pada pekerjaan operasional;
-Membuat laporan rutin K3 dan Lingkungan, investigasi kecelakaan kerja
-Mengordinir pelaksanaan penilaian PROPER KLHK.",ya,,2,A,Himpunan Mahasiswa Teknik Lingkungan ,3.32,"Ecoproject (Kadiv Lapangan Zero waste), Badan Pengurus HMTL ITB (Kepala Department Eksternal)",2
15316065,Teknik Lingkungan,Konsultansi,Climate change and sustainability consultant.,ya,item2,4,M,Bumi Scholar,3.37,Pitching; Communication skill; Actual project,2
15316068,Teknik Lingkungan,Sustainability,"Sebagai seorang Sustainability Analyst. Tugasnya adalah planning, monitoring dan evaluasi integrasi aspek ESG dalam bisnis unit ",ya,item1,4,E,Kabinet KM ITB dan HMTL ITB,3.19,"Kajian Lingkungan, Zero Waste, Bank Sampah, Diskusi Kreatif",4
15316071,Teknik Lingkungan,"Sales, Operation, and Partnership",,tidak,item5,2,J,"SPE ITB, but I was more focused on doing internship ",3.52,"Public Speaking, presenting to every faculty in front of hundreds of student in their 1st/2nd year",4
15316073,Teknik Lingkungan,Konsultansi,,ya,item3,4,S,Himpunan mahasiswa dan perkumpulan mahasiswa antar universitas,3.58,"memimpin divisi, mengatur materi, mengatur waktu, komunikasi",4
15316074,Teknik Lingkungan,Renewable Energy Project,,tidak,item3,4,D,Himpunan Mahasiswa Teknik Lingkungan (HMTL),3.19,"Seminar, menjalankan project langsung ke lapangan, bersosialisasi dengan masyarakat",5
15316075,Teknik Lingkungan,HSE,,ya,,2,F,HMTL,2.86,"PEKKA, PEMILU",2
15316078,Teknik Lingkungan,PROPER,,ya,item3,4,D,LFM ITB,3.4,Kepanitiaan setiap wisuda,4
15316079,Teknik Lingkungan,Koordinasi antar operator lapangan,Melakukan fungsi operasional Pembangkit Listrik Tenaga Sampah (PLTSa),ya,item2,5,D,Unit Budaya Lampung (UBALA),3.08,Kagangapa Ubala,5
15316081,Teknik Lingkungan,Analis di bidang Safety,Junior analis di bidang HSSE khususnya fungsi Safety di salah satu perusahaan minyak dan gas,tidak,item4,4,B,Himpunan Mahasiswa Teknik Lingkungan,3.58,Acara himpunan,4
15316082,Teknik Lingkungan,Konsultan,"Membantu penyusunan feasibility studi, mengumpulkan dan mengolah data yang dibutuhkan, menyusun dokumen (FS, BED, DED) yang dibutuhkan",ya,item1,4,E,Himpunan Mahasiswa Teknik Lingkungan ITB,3.08,"partisipasi pada rangkaian acara  yang dibuat oleh himpunan, mengemban tanggung jawab menjadi salah satu bagian perangkat himpunan",2
15316083,Teknik Lingkungan,Environmental Consultant,Mengurus alur bisnis yang berkaitan dengan sustainability,ya,item2,4,M,HMTL ITB,3.5,"Kepanitiaan KM ITB seperti wisuda, OSKM",4
15316084,Teknik Lingkungan,Konsultansi,"Konsultan Lingkungan
Amdal
ESIA
Environmental and Social Safeguard",ya,,4,E,Himpunan Mahasiswa Teknik Lingkungan ITB,3.4,"Rapat anggota, kajian amandemen, pengawasan, legislasi, aspirasi",4
15316086,Teknik Lingkungan,konsultan,"- Deliver expert advice and assistance to clients on Extended Producer Responsibility (EPR) and Solid Waste Management (SWM) issues
- Provide robust and unbiased assessments of the project's environmental and economic impact
- Provide insightful recommendations and feedback to support the project's planning, tracking, monitoring, and updating.",ya,item2,2,S,"Skhole, Kabinet KM-ITB",3.43,"mengajar, mengadakan sebuah acara, menyusun strategi pengelolaan sampah di himpunan, dsb",4
15316087,Teknik Lingkungan,Compliance and System,Memastikan compliance dan sistem terkait dengan lingkungan (environmental aspects) di perusahaan dan anak perusahaan,ya,item1,4,B,Himpunan Mahasiswa Teknik Lingkungan (HMTL),3.7,Kepanitiaan,4
15316089,Teknik Lingkungan,Guru,Mengajar anak-anak usia 5-6 tahun agar siap melanjutkan ke level pendidikan yang selanjutnya,tidak,item5,4,P,Lingkung Seni Sunda,2.55,Kepanitiaan saat ada kegiatan mentas maupun kepengurusan organisasi itu sendiri,4
15316090,Teknik Lingkungan,B2B Strategy,,tidak,item4,4,S,Apres,3.51,menjadi badan pengurus,4
15316092,Teknik Lingkungan,Sustainability Analysis,,ya,item2,5,C,"HMTL ITB, LFM ITB",3.41,"Desain grafis, diskusi dan komunikasi, kerja kelompok, kepemimpinan",4
15316094,Teknik Lingkungan,terkait compliance terharap isu libgkungan,Sebagai Enviro engineer ,ya,item1,4,B,Kabinet KM ITB,3.19,acara kopi sore,4
15316095,Teknik Lingkungan,.,"Sebagai Environmental Engineer saya berperan dalam monitoring, compliance report dan reklamasi ",ya,item2,2,B,Himpunan ,3.21,Diskusi Himpunana dan Volunteer mengajar ,2
15316096,Teknik Lingkungan,-,,ya,item3,4,E,HMTL,3.22,-,4
15316097,Teknik Lingkungan,Market research,Market research di sustainability,ya,item3,2,U,HMTL,3.52,"Desa Mitra, Ospek Jurusan",4
15316098,Teknik Lingkungan,Environmental Mining,Environmental Mining Representative,ya,item1,5,B,Unit Selam Nautika ITB,3.33,Sponsorship dan Diving Skill,4
15316099,Teknik Lingkungan,Health Safety Environment Officer,"Pekerjaan berhubungan dengan sosialisasi dan komunikasi  karyawan mengenai aspek keselamatan, kesehatan dan lingkungan, membuat laporan mengenai aspek keselamatan, kesehatan dan lingkungan, melakukan training internal mengenai aspek keselamatan, kesehatan dan lingkungan, melakukan pemantauan lingkungan di area kerja, dll",ya,item3,2,B,Kabinet KM ITB,3.31,"Kegiatan Kepanitiaan Ecoproject HMTL ITB, Semua kegiatan di Direktorat Beasiswa KESMA KM ITB terutama kegiatan yang sifatnya pelayanan ke mahasiswa, ",4
15316100,Teknik Lingkungan,Konsultan Lingkungan,"Menyusun Dokumen Lingkungan, mendesign unit pengendalian pencemaran lingkungan",ya,,4,M,"UKM-ITB, HMTL ITB",3.49,"Orientasi anggota baru HMTL-ITB dan UKM-ITB, Dies Natalis UKM-ITB",4
15316102,Teknik Lingkungan,,Pemeriksaan (Auditing) Laporan Keuangan,,,4,,Himpunan Mahasiswa Teknik Lingkungan (HMTL) ITB dan UKM U Green ITB,3.6,HMTL  ITB dan U Green ITB,4
15416001,Perencanaan Wilayah dan Kota,tenaga ahli,"Penyusunan regulasi dan dokumen rencana
Penyiapan pembentukan lembaga
kajian ekonomi, sosial dan infrastruktur
kegiatan promosi",ya,item1,5,O,HMP PL ITB,3.36,Sebagai panitia Acara UMO Vol 3.0,5
15416002,Perencanaan Wilayah dan Kota,Engineering,Menyusun rencana dan dokumen rencana.,tidak,kurang erat,4,B,HMP Pangripta Loka,,"Kepanitiaan untuk mengurus organisasi dan membentuk koneksi, diskusi akademik dan belajar bersama akademik",5
15416003,Perencanaan Wilayah dan Kota,IT,Menjadi tim ahli Database di lingkup Kementerian PPN/Bappenas,ya,item1,5,J,Himpunan Mahasiswa Pangriptaloka PL ITB,3.09,Menjadi wakil divisi keprofesian HMP PL ITB dengan berbagai program kerja yang dilakukan,5
15416004,Perencanaan Wilayah dan Kota,Perencanaan Wilayah dan Kota,"Membuat rencana, monitoring dan evaluasi proyek infrastruktur",ya,item1,4,M,Himpunan Mahasiswa Perencanaan Wilayah dan Kota,3.61,Kaderisasi,5
15416005,Perencanaan Wilayah dan Kota,Manajemen,Change and project management,tidak,,5,S,HMP,3.03,MPAB,5
15416006,Perencanaan Wilayah dan Kota,,Penelitian,,,4,,Stema,3.55,Badan kepengurusan,4
15416007,Perencanaan Wilayah dan Kota,Planning and performance management,Planning and performance management,tidak,item4,2,S,HMP PL ITB,3.63,Menjabat pada Badan Pengurus Himpunan dengan seluruh tugas dan tanggungjawabnha,4
15416008,Perencanaan Wilayah dan Kota,-,,ya,item1,4,P,Himpunan prodi,3.37,"Sharing alumni, tutorial",4
15416009,Perencanaan Wilayah dan Kota,"Administrasi, penawaran, dan analisis data",Virtual Marketing,ya,item3,2,F,LSS ITB,2.8,"Organisasi, kepemimpinan, pengelolaan SDM",4
15416011,Perencanaan Wilayah dan Kota,Mengidentifikasi dan merencanakan pelabuhan perikanan,Merencanakan pelabuhan perikanan yang akan didorong untuk didanai oleh lender multilateral dan bilateral,ya,item3,5,A,Himpunan Mahasiswa Planologi,3.33,Audiensi & hearing,5
15416012,Perencanaan Wilayah dan Kota,Perencanaan Wilayah dan Kota,Pembuatan laporan proyek-proyek dan usulan teknis proyek,ya,sangat erat,4,M,Studi Teater Mahasiswa ITB,,Pentas Teater Ratna Manggali,4
15416014,Perencanaan Wilayah dan Kota,Pemerintahan,"- Membantu penyusunan rancangan awal RPJPN 2025-2045
- Mengawal penyusunan ITMP Labuan Bajo
- Mengawal penyusunan petunjuk teknis kelompok kerja P3TB
- dan penugasan lainnya terkait wilayah yang diampu (Nusa Tenggara Timur)",ya,item1,4,O,Resimen Mahasiswa Batalyon I/ITB,3.54,Latihan dasar kepemimpinan dan pengembangan diri lainnya,2
15416015,Perencanaan Wilayah dan Kota,Sales,Head of Area Tasikmalaya Area (Supervisor Divisi Sales) PT Nestle Indonesia,tidak,item5,4,I,HMP ITB,3.13,Proker Himpunan (Sebagai Panitia/Badan Pengurus),4
15416016,Perencanaan Wilayah dan Kota,Konsultansi,,ya,item3,5,M,HMP Pangripta Loka,3.36,Community Development ,4
15416017,Perencanaan Wilayah dan Kota,banyak,,ya,item2,4,O,HMP PL ITB,3.54,Social skill,4
15416018,Perencanaan Wilayah dan Kota,Energy Analyst,"Desktop studi dan analisis data, administrasi riset dan pembuatan proposal, project management, engagement dengan pihak luar",tidak,item3,2,M,LFM ITB,3.68,"Djarum Scholarship, XL Future Leaders",2
15416019,Perencanaan Wilayah dan Kota,Konsultan Rancang Kota dan Perencanaan,"1. Kajian Makro Kawasan untuk kepentingan Analisis yang Lebih Detail
2. Inovasi Metode Analisis Sistem Informasi Geografis
3. Collecting Digital Data / Data Mining",ya,,2,S,HMP Pangripta Loka ITB,3.4,"Kajian, Inovasi Teknologi, Dinamika Mekanisme Kerja",4
15416021,Perencanaan Wilayah dan Kota,Individual Consultant,Melakukan validasi pkkpr dan analisis kesesuaian penataan ruang,ya,item1,4,O,Cirebon In Charity,3.16,Tata cara mendapat donatur dan manajemen waktu mengajar anak-anak yang mendapat beasiswa dari cirebon,5
15416022,Perencanaan Wilayah dan Kota,Marketing,-,ya,item2,4,C,Gebrak Indonesia dan HMP,3.47,Bilik Sekolah Pengmas,4
15416025,Perencanaan Wilayah dan Kota,Researcher,Riset sosial ekonomi di bidang transisi menuju energi terbarukan,ya,item4,4,M,HMP PL ITB,3.74,Sharing session dengan Alumni,4
15416026,Perencanaan Wilayah dan Kota,Tenaga Ahli di Instansi Pemerintahan Provinsi Jawa Barat,Melakukan analisis data terkait ekonomi makro,ya,,4,O,HMP,3.63,Kepanitian Divisi Acara,4
15416028,Perencanaan Wilayah dan Kota,-,,ya,item3,4,L,UBT,3.31,-,4
15416029,Perencanaan Wilayah dan Kota,Business Development Officer,,tidak,item4,1,F,HMP Pangripta Loka ITB,2.99,Diskusi dalam berbagai forum sebagai bentuk pengasahan kemampuan komunikasi,1
15416030,Perencanaan Wilayah dan Kota,Konsultan Individu,Melakukan validasi dan kajian secara tata ruang untuk permohonan perizinan berusaha melalui aplikasi OSS.,ya,item1,5,O,"HMP PL ITB, GIJO (Ganesha ITB Jombang), Keroncong Progressio ITB",3.1,Kegiatan event-event yang menuntut untuk menjalin komunikasi dengan baik dengan banyak orang dari berbagai peran.,5
15416035,Perencanaan Wilayah dan Kota,Menyusun dokumen perencanaan,Menyusun dokumen perencanaan,ya,item1,5,O,Ukawangi,3.55,Pagelaran kesenian,5
15416036,Perencanaan Wilayah dan Kota,-,mengembangkan kebijakan terkait sektor air minum dan sanitasi di indonesia,ya,item2,5,E,HMP PL ITB,3.34,seluruh kegiatan,5
15416037,Perencanaan Wilayah dan Kota,teknisi dan analis pengecekan gambar ,membuat blok plan perumahan dan pengurusan KKPR,ya,item1,5,O,HMP PL ITB,3.36,diskusi,5
15416038,Perencanaan Wilayah dan Kota,Project management and policy analysis,Analyze public policy and manage relationship with government ,ya,item2,5,J,HMP PL ITB,3.39,Semuanya memberikan kontribusi yg tidak bisa dipisahkan,5
15416039,Perencanaan Wilayah dan Kota,Jasa Konsultansi,Menjadi analis dalam penyusunan Evaluasi RPJMD dan Penyusunan Revisi RPJMD Kabupaten Bandung Tahun 2021-2026,ya,item1,4,O,"Unit Flag Football ""Ganesha Touchdown"" ITB",3.41,"College Bowl (Manajemen Tim, Persiapan Latihan, Kompetisi)",4
15416040,Perencanaan Wilayah dan Kota,"Analisis data, manajemen proyek ilmiah",,tidak,item3,2,M,Apres! ITB,3.68,Organisir acara musik,4
15416041,Perencanaan Wilayah dan Kota,Kajian,Mengkaji isu,tidak,item2,5,M,HMP,3.38,Diskusi,4
15416042,Perencanaan Wilayah dan Kota,Pemetaan,Pemeteaan Investasi,ya,item1,5,O,Menwa,3.05,Diksar Menwa,5
15416044,Perencanaan Wilayah dan Kota,Monitoring dan evaluasi ,"Melakukan monitoring dan evaluasi,  baik secara ketercapaian program, kegiatan, maupun anggaran untuk Biro-Pusat di Lingkup Sekretariat Jenderal Kemendagri",tidak,item4,2,O,"Himpunan Mahasiswa Teknik Planologi ""Pangripta Loka"" ITB",3.17,Berpartisipasi dalam Badan Pengurus Himpunan,2
15416047,Perencanaan Wilayah dan Kota,Analis Kewilayahan,"Melakukan analisis data, Membuat laporan baik paparan ataupun tulisan",ya,item1,4,O,Kabinet KM ITB,3.13,Kunjungan Media dan Sekolah Media,4
15416050,Perencanaan Wilayah dan Kota,Pendidikan,Mengajar ,tidak,item5,4,P,Himpunan Mahasiswa Jurusan (HMP PL ITB) dan GAMAIS ITB,3.22,Memberikan kemampuan lebih dalam mengurus hal-hal administratif terutama dalam mengurus perizinan karena seringkali menjadi sekretaris saat ada kegiatan kemahasiswaan,5
15416051,Perencanaan Wilayah dan Kota,Operations Associate,,tidak,item5,4,H,Liga Film Mahasiswa ITB,3.17,Fotografi,4
15416052,Perencanaan Wilayah dan Kota,digital marketing,,tidak,item4,4,G,Unit Softball ITB,3.01,latihan dan turnamen,4
15416053,Perencanaan Wilayah dan Kota,Infrastructure Planner,"Tugas utama saya merencanakan dan memonitoring pekerjaan infrastruktur dari sebuah kawasan pengembangan yang dinaungi oleh pengembang, khususnya untuk perumahan tapak / landed housing",ya,item2,4,L,HMP (Himpunan Mahasiswa Perencanaan Wilayah dan Kota) Pangripta Loka,3.51,Riset Himpunan dan Kajian Keilmuan,4
15416054,Perencanaan Wilayah dan Kota,"Konsultan Teknis dalam bidang Perencanaan Wilayah, Kota dan GIS",Sebagai perencana kota dan analis GIS melakukan berbagai proyek infrastruktur dan pengembangan kawasan,ya,,4,M,Boulevard,3.18,Membuat acara dan berhubungan dengan vendor-vendor sekitar bandung maupun narasumber dari luar kampus,4
15416055,Perencanaan Wilayah dan Kota,Konsultan Individu,"1.	Membantu fasilitasi seluruh kegiatan NUDP di lingkup Ditjen Bina Pembangunan Daerah dalam dukungan penyediaan dan penyajian data;
2.	Membantu fasilitasi, inventarisasi dan analisa data di lingkup Ditjen Bina Pembangunan Daerah; 
3.	Membantu fasilitasi Penyusunan Kegiatan Tahunan (AWP) PIU Ditjen Bina Bangda;
4.	Membantu fasilitasi Pelaksanaan Kegiatan Tahunan (OWP) PIU Ditjen Bina Bangda;",ya,item1,5,O,Himpunan Mahasiswa Teknik Planologi,2.97,Menjabat sebagai Dewan Perwakilan anggota dan panitia kaderisasi,5
15416056,Perencanaan Wilayah dan Kota,Masterplan,Menyusun masterplan kawasan,ya,item1,4,M,Himpunan,3.4,Kurang mengasah kemampuan,4
15416058,Perencanaan Wilayah dan Kota,,Melakukan monitoring dan evaluasi program dan kegiatan,,,5,,HMP Pangripta Loka,2.81,Kegiatan Publikasi dan Dokumentasi,5
15416059,Perencanaan Wilayah dan Kota,perencanaan,membuat konsep pengerjaan pekerjaan dan memastikan keberjalanan pengerjaan,ya,item2,1,M,himpunan program studi,3.03,kaderisasi,2
15416060,Perencanaan Wilayah dan Kota,,Menyusun dokumen perencanaan,ya,item1,5,O,HMP Pangripta Loka,3.26,"Kajian, gathering bersama alumni/himpunan mahasiswa lain/rekan satu himpunan, workshop dan tutoring materi perkuliahan",5
15416061,Perencanaan Wilayah dan Kota,"Administrasi (terkait penyusunan dokumen), kajian, manajemen tim",Menyusun bahan paparan maupun dokumen terkait percepatan penyusunan RDTR (Rencana Detail Tata Ruang) dan penerbitan KKPR (Kesesuaian Kegiatan Pemanfaatan Ruang),ya,item1,4,O,Kabinet KM-ITB,3.29,"Kajian, diskusi, menyusun policy brief dan paper, me-manage tim sebagai Wamenko dan PJS Menko",2
15416062,Perencanaan Wilayah dan Kota,Business & Product,,tidak,,4,K,HMP-PL dan Kabinet KM-ITB,3.29,Rapat Anggota dan Diskusi Keilmuan/dsb,4
15416063,Perencanaan Wilayah dan Kota,asisten riset,-,ya,item3,4,M,HMP PL ITB,3.28,Kajian,4
15416064,Perencanaan Wilayah dan Kota,Analisis Pengelolaan Investasi,"Analisis Investasi, Analisis Kajian Risiko",ya,item2,4,R,Persekutuan Mahasiswa Kristen,3.18,-,4
15416067,Perencanaan Wilayah dan Kota,,"Melaksanakan pengembangan sistem informasi pelaporan dan monitoring pelaksanaan rencana pembangunan, 
pendampingan proses perencanaan-penganggaran K/L mitra
melaksanakan evaluasi dan penilaian kinerja program rencana pembangunan oleh K/L",,,5,,Unit Kebudayaan Irian Jaya,3.14,Kepemimpinan,4
15416069,Perencanaan Wilayah dan Kota,Perencana Wilayah dan Kota,"1. Penyiapan perumusan kebijakan dan strategi operasional, rencana dan program di bidang pembinaan perencanaan tata ruang daerah dan kawasan tematik di Wilayah Pulau Nusa Tenggara, Pulau Kalimantan, Pulau Sulawesi, Pulau Maluku, dan Pulau Papua;
2. Pelaksanaan monitoring dan evaluasi pelaksanaan kebijakan teknis dan program di bidang pembinaan perencanaan tata ruang daerah dan kawasan tematik di Wilayah Pulau Nusa Tenggara, Pulau Kalimantan, Pulau Sulawesi, Pulau Maluku, dan Pulau Papua;
3. Pelaksanaan bimbingan teknis dan bantuan teknis perencanaan tata ruang kepada pemerintah provinsi, pemerintah kabupaten, dan pemerintah kota, termasuk pemenuhan standar pelayanan minimum bidang penataan ruang;
4. Fasilitasi pemberian persetujuan substansi perencanaan tata ruang daerah dan kawasan tematik
5. Pelaksanaan urusan tata usaha dan rumah tangga Direktorat.",ya,item1,5,S,"Unit Kebudayaan Aceh ITB, HMP Pangripta Loka ITB",3.25,"Belajar tarian daerah, belajar updgrading soft skill design ",5
15416071,Perencanaan Wilayah dan Kota,mengelola keuangan,,tidak,item5,4,K,HMP PL ITB,3.13,Ospek Jurusan,4
15416073,Perencanaan Wilayah dan Kota,Perencanaan konstruksi,Perencanaan dan manajemen proyek konstruksi,ya,item4,4,H,8EH Radio ITB,3.12,workshop,4
15416074,Perencanaan Wilayah dan Kota,Real Estate,,tidak,,4,S,HMP - Pangripta Loka,2.94,UMO,4
15416075,Perencanaan Wilayah dan Kota,Urban Design,Pengerjaan desain kawasan di jakarta,ya,item1,5,O,Himpunan Mahasiswa Perencanaan  Pangripta Loka ITB,3.06,"Manajemen, Kajian, Diskusi",5
15416076,Perencanaan Wilayah dan Kota,penataan ruang dan perencanaan ,membuat kajian lingkungan hidup strategis dan rekomendasi,ya,item3,5,M,HMP-PL ,3.29,Seminar dan diskusi,4
15416077,Perencanaan Wilayah dan Kota,Perencanaan,"Melakukan penyerasian rencana dan program untuk percepatan pembangunan daerah tertinggal dalam bentuk dokumen STRANAS PPDT dan RAN PPDT tiap tahunnya.
Melakukan evaluasi terhadap dokumen perencanaan RAN PPDT",ya,,4,O,UKM ITB (Unit Kesenian Minangkabau),3.45,menjadi badan pengurus untuk meningkatkan skill kepemimpinan,4
15416080,Perencanaan Wilayah dan Kota,Project Management,plan and executed project ,tidak,item5,2,S,HMP Pangriptaloka ITB,3.44,"Intrakampus, menambah relasi dan belajar komunikasi",2
15416084,Perencanaan Wilayah dan Kota,Asisten Tenaga Ahli,KLHS,ya,,4,M,HMP PL ITB,3.22,Urban Motion Vol 3.0,4
15416086,Perencanaan Wilayah dan Kota,Creative Agency,Memanage tim dalam memproduksi aset kreatif,tidak,item5,4,R,Gamais ITB,3.16,"Diskusi, Kajian keilmuan",4
